,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
4871,dorsb001,Dorsett,Brian,09/08/1987,,,,1987-09-08,Brian Dorsett
4874,dorsj001,Dorsey,Jim,09/02/1980,,,,1980-09-02,Jim Dorsey
4875,dortm001,Dorta,Melvin,07/21/2006,,,,2006-07-21,Melvin Dorta
4878,dostd001,Doster,David,06/16/1996,,,,1996-06-16,David Doster
4879,doteo001,Dotel,Octavio,06/26/1999,,,,1999-06-26,Octavio Dotel
4884,doubf001,Doubront,Felix,06/18/2010,,,,2010-06-18,Felix Doubront
4886,dougj001,Dougherty,Jim,04/27/1995,,,,1995-04-27,Jim Dougherty
4896,dougs001,Douglass,Sean,07/18/2001,,,,2001-07-18,Sean Douglass
4897,doumr001,Doumit,Ryan,06/05/2005,,,,2005-06-05,Ryan Doumit
4899,doved001,Dove,Dennis,04/30/2007,,,,2007-04-30,Dennis Dove
4906,dowek001,Dowell,Ken,06/24/1987,,,,1987-06-24,Ken Dowell
4915,downd001,Downs,Darin,07/03/2012,,,,2012-07-03,Darin Downs
4917,downk001,Downs,Kelly,07/29/1986,,,,1986-07-29,Kelly Downs
4918,downm001,Downs,Matt,06/16/2009,,,,2009-06-16,Matt Downs
4920,downs001,Downs,Scott,04/09/2000,,,,2000-04-09,Scott Downs
4930,doylj101,Doyle,Jeff,09/13/1983,,,,1983-09-13,Jeff Doyle
4937,doync001,Doyne,Cory,06/16/2007,,,,2007-06-16,Cory Doyne
4938,dozib001,Dozier,Brian,05/07/2012,,,,2012-05-07,Brian Dozier
4940,dozid001,Dozier,D.J.,05/06/1992,,,,1992-05-06,D.J. Dozier
4941,dozih001,Dozier,Hunter,09/12/2016,,,,2016-09-12,Hunter Dozier
4942,dozit001,Dozier,Tom,05/17/1986,,,,1986-05-17,Tom Dozier
4943,drabd001,Drabek,Doug,05/30/1986,,,,1986-05-30,Doug Drabek
4944,drabk001,Drabek,Kyle,09/15/2010,,,,2010-09-15,Kyle Drabek
4947,drahb001,Drahman,Brian,04/16/1991,,,,1991-04-16,Brian Drahman
4952,drako001,Drake,Oliver,05/23/2015,,,,2015-05-23,Oliver Drake
4957,drank001,Dransfeldt,Kelly,05/01/1999,,,,1999-05-01,Kelly Dransfeldt
4959,drapm001,Draper,Mike,04/10/1993,,,,1993-04-10,Mike Draper
4961,dravd001,Dravecky,Dave,06/15/1982,,,,1982-06-15,Dave Dravecky
4963,dreet001,Drees,Tom,09/03/1991,,,,1991-09-03,Tom Drees
4965,dreid001,Dreifort,Darren,04/07/1994,,,,1994-04-07,Darren Dreifort
4969,dresr001,Drese,Ryan,07/29/2001,,,,2001-07-29,Ryan Drese
4972,dresk001,Dressendorfer,Kirk,04/13/1991,,,,1991-04-13,Kirk Dressendorfer
4976,drewc001,Drew,Cameron,09/09/1988,,,,1988-09-09,Cameron Drew
4978,drewj001,Drew,J.D.,09/08/1998,,,,1998-09-08,J.D. Drew
4979,drews001,Drew,Stephen,07/15/2006,,,,2006-07-15,Stephen Drew
4980,drewt001,Drew,Tim,05/24/2000,,,,2000-05-24,Tim Drew
4983,dreys001,Dreyer,Steve,08/08/1993,,,,1993-08-08,Steve Dreyer
4992,drist001,Driskill,Travis,04/26/2002,,,,2002-04-26,Travis Driskill
5000,drumt001,Drummond,Tim,09/12/1987,,,,1987-09-12,Tim Drummond
5002,drurb001,Drury,Brandon,09/01/2015,,,,2015-09-01,Brandon Drury
5006,dubob001,Dubois,Brian,08/17/1989,,,,1989-08-17,Brian Dubois
5007,duboj001,Dubois,Jason,05/19/2004,,,,2004-05-19,Jason Dubois
5008,duboe001,DuBose,Eric,09/19/2002,,,,2002-09-19,Eric DuBose
5010,duceb001,Ducey,Rob,05/01/1987,,,,1987-05-01,Rob Ducey
5012,duchj001,Duchscherer,Justin,07/25/2001,,,,2001-07-25,Justin Duchscherer
5013,duckb001,Duckworth,Brandon,08/07/2001,,,,2001-08-07,Brandon Duckworth
5015,dudal001,Duda,Lucas,09/01/2010,,,,2010-09-01,Lucas Duda
5018,duenb001,Duensing,Brian,04/10/2009,,,,2009-04-10,Brian Duensing
5021,duffm001,Duff,Matt,07/30/2002,,,,2002-07-30,Matt Duff
5025,dufft001,Duffey,Tyler,08/05/2015,,,,2015-08-05,Tyler Duffey
5028,duffc001,Duffy,Chris,04/07/2005,,,,2005-04-07,Chris Duffy
5029,duffd001,Duffy,Danny,05/18/2011,,,,2011-05-18,Danny Duffy
5034,duffm002,Duffy,Matt,08/01/2014,,,,2014-08-01,Matt Duffy
5035,duffm003,Duffy,Matt,09/16/2015,,,,2015-09-16,Matt Duffy
5046,dukez001,Duke,Zach,07/02/2005,,,,2005-07-02,Zach Duke
5047,dukee001,Dukes,Elijah,04/02/2007,,,,2007-04-02,Elijah Dukes
5051,dullr001,Dull,Ryan,09/01/2015,,,,2015-09-01,Ryan Dull
5052,dumap001,Dumatrait,Phil,08/02/2007,,,,2007-08-02,Phil Dumatrait
5056,dunbm001,Dunbar,Matt,04/25/1995,,,,1995-04-25,Matt Dunbar
5057,dunbt001,Dunbar,Tom,09/07/1983,,,,1983-09-07,Tom Dunbar
5058,duncc002,Duncan,Chris,09/10/2005,,,,2005-09-10,Chris Duncan
5059,duncc001,Duncan,Courtney,04/02/2001,,,,2001-04-02,Courtney Duncan
5062,duncj001,Duncan,Jeff,05/20/2003,,,,2003-05-20,Jeff Duncan
5064,duncm001,Duncan,Mariano,04/09/1985,,04/03/2006,,1985-04-09,Mariano Duncan
5066,duncs001,Duncan,Shelley,07/20/2007,,,,2007-07-20,Shelley Duncan
5083,dunna001,Dunn,Adam,07/20/2001,,,,2001-07-20,Adam Dunn
5088,dunnm002,Dunn,Michael,09/04/2009,,,,2009-09-04,Michael Dunn
5090,dunns002,Dunn,Scott,09/11/2004,,,,2004-09-11,Scott Dunn
5091,dunns001,Dunn,Steve,05/03/1994,,,,1994-05-03,Steve Dunn
5093,dunnt001,Dunn,Todd,09/08/1996,,,,1996-09-08,Todd Dunn
5096,dunnm001,Dunne,Mike,06/05/1987,,,,1987-06-05,Mike Dunne
5098,dunnj001,Dunning,Jake,06/16/2013,,,,2013-06-16,Jake Dunning
5100,dunss001,Dunston,Shawon,04/09/1985,,,,1985-04-09,Shawon Dunston
5101,dunwt001,Dunwoody,Todd,05/10/1997,,,,1997-05-10,Todd Dunwoody
5104,durad101,Duran,Dan,04/17/1981,,,,1981-04-17,Dan Duran
5105,durag001,Duran,German,04/17/2008,,,,2008-04-17,German Duran
5106,durar001,Duran,Roberto,07/06/1997,,,,1997-07-06,Roberto Duran
5107,dural001,Durango,Luis,09/15/2009,,,,2009-09-15,Luis Durango
5108,duram001,Durant,Mike,04/03/1996,,,,1996-04-03,Mike Durant
5109,durae001,Durazo,Erubiel,07/26/1999,,,,1999-07-26,Erubiel Durazo
5110,durbc001,Durbin,Chad,09/26/1999,,,,1999-09-26,Chad Durbin
5111,durbj001,Durbin,J.D.,09/08/2004,,,,2004-09-08,J.D. Durbin
5120,durhl001,Durham,Leon,05/27/1980,,04/02/2017,,1980-05-27,Leon Durham
5121,durhr001,Durham,Ray,04/26/1995,,,,1995-04-26,Ray Durham
5125,duroj001,Durocher,Jayson,06/11/2002,,,,2002-06-11,Jayson Durocher
5128,durrt001,Durrington,Trent,08/06/1999,,,,1999-08-06,Trent Durrington
5136,duvaa001,Duvall,Adam,06/26/2014,,,,2014-06-26,Adam Duvall
5137,duvam001,Duvall,Mike,09/22/1998,,,,1998-09-22,Mike Duvall
5140,dwyec001,Dwyer,Chris,09/24/2013,,,,2013-09-24,Chris Dwyer
5145,dybzj001,Dybzinski,Jerry,04/11/1980,,,,1980-04-11,Jerry Dybzinski
5147,dye-j001,Dye,Jermaine,05/17/1996,,,,1996-05-17,Jermaine Dye
5151,dyerm001,Dyer,Mike,06/29/1989,,,,1989-06-29,Mike Dyer
5154,dykhr001,Dykhoff,Radhames,06/07/1998,,,,1998-06-07,Radhames Dykhoff
5155,dyksa001,Dykstra,Allan,04/08/2015,,,,2015-04-08,Allan Dykstra
5156,dyksl001,Dykstra,Lenny,05/03/1985,,,,1985-05-03,Lenny Dykstra
5158,dysoj001,Dyson,Jarrod,09/07/2010,,,,2010-09-07,Jarrod Dyson
5159,dysos001,Dyson,Sam,07/05/2012,,,,2012-07-05,Sam Dyson
5167,earls001,Earl,Scott,09/10/1984,,,,1984-09-10,Scott Earl
5170,earlb001,Earley,Bill,09/22/1986,,,,1986-09-22,Bill Earley
5175,easld001,Easley,Damion,08/13/1992,,,,1992-08-13,Damion Easley
5176,easle001,Easley,Ed,05/29/2015,,,,2015-05-29,Ed Easley
5178,easll001,Easley,Logan,04/09/1987,,,,1987-04-09,Logan Easley
5192,eatoa001,Eaton,Adam,05/30/2000,,,,2000-05-30,Adam Eaton
5193,eatoa002,Eaton,Adam,09/04/2012,,,,2012-09-04,Adam Eaton
5196,eaveg001,Eave,Gary,04/12/1988,,,,1988-04-12,Gary Eave
5201,eberd001,Ebert,Derrin,04/06/1999,,,,1999-04-06,Derrin Ebert
5204,echea001,Echevarria,Angel,07/15/1996,,,,1996-07-15,Angel Echevarria
5206,eckee001,Eckenstahler,Eric,09/09/2002,,,,2002-09-09,Eric Eckenstahler
5211,ecksd001,Eckstein,David,04/03/2001,,,,2001-04-03,David Eckstein
5214,eddyc001,Eddy,Chris,04/26/1995,,,,1995-04-26,Chris Eddy
5218,edelj101,Edelen,Joe,04/18/1981,,,,1981-04-18,Joe Edelen
5222,edenk001,Edenfield,Ken,05/11/1995,,,,1995-05-11,Ken Edenfield
5223,edent001,Edens,Tom,06/02/1987,,,,1987-06-02,Tom Edens
5226,edgij001,Edgin,Josh,07/13/2012,,,,2012-07-13,Josh Edgin
5228,edles001,Edlefsen,Steve,08/21/2011,,,,2011-08-21,Steve Edlefsen
5229,edled101,Edler,Dave,09/04/1980,,,,1980-09-04,Dave Edler
5230,edmoj001,Edmonds,Jim,09/09/1993,,,,1993-09-09,Jim Edmonds
5232,edmob001,Edmondson,Brian,04/02/1998,,,,1998-04-02,Brian Edmondson
5238,edwac001,Edwards,Carl,09/07/2015,,,,2015-09-07,Carl Edwards
5245,edwaj001,Edwards,Jon,08/15/2014,,,,2014-08-15,Jon Edwards
5247,edwam102,Edwards,Marshall,04/11/1981,,,,1981-04-11,Marshall Edwards
5249,edwam001,Edwards,Mike,09/20/2003,,,,2003-09-20,Mike Edwards
5252,edwaw001,Edwards,Wayne,09/11/1989,,,,1989-09-11,Wayne Edwards
5255,eenhr001,Eenhoorn,Robert,04/27/1994,,,,1994-04-27,Robert Eenhoorn
5256,efliz001,Eflin,Zach,06/14/2016,,,,2016-06-14,Zach Eflin
5264,egbej001,Egbert,Jack,04/21/2009,,,,2009-04-21,Jack Egbert
5265,ege-c001,Ege,Cody,04/23/2016,,,,2016-04-23,Cody Ege
5268,eglob001,Egloff,Bruce,04/13/1991,,,,1991-04-13,Bruce Egloff
5274,eibnb001,Eibner,Brett,05/27/2016,,,,2016-05-27,Brett Eibner
5276,eichm001,Eichhorn,Mark,08/30/1982,,,,1982-08-30,Mark Eichhorn
5278,eickj001,Eickhoff,Jerad,08/21/2015,,,,2015-08-21,Jerad Eickhoff
5279,eilad001,Eiland,Dave,08/03/1988,,04/01/2008,,1988-08-03,Dave Eiland
5281,eined001,Einertson,Darrell,04/15/2000,,,,2000-04-15,Darrell Einertson
5282,eiscj001,Eischen,Joey,06/19/1994,,,,1994-06-19,Joey Eischen
5284,eisej001,Eisenreich,Jim,04/06/1982,,,,1982-04-06,Jim Eisenreich
5287,ekstm001,Ekstrom,Mike,09/10/2008,,,,2008-09-10,Mike Ekstrom
5288,elars001,Elarton,Scott,06/20/1998,,,,1998-06-20,Scott Elarton
5290,elbes001,Elbert,Scott,08/29/2008,,,,2008-08-29,Scott Elbert
5291,elded001,Elder,Dave,07/24/2002,,,,2002-07-24,Dave Elder
5294,eldrb001,Eldred,Brad,07/22/2005,,,,2005-07-22,Brad Eldred
5295,eldrc001,Eldred,Cal,09/24/1991,,,,1991-09-24,Cal Eldred
5298,eliar001,Elias,Roenis,04/03/2014,,,,2014-04-03,Roenis Elias
5305,ellib001,Ellington,Brian,08/03/2015,,,,2015-08-03,Brian Ellington
5311,ellid001,Elliott,Donnie,04/23/1994,,,,1994-04-23,Donnie Elliott
5319,ellia001,Ellis,A.J.,09/15/2008,,,,2008-09-15,A.J. Ellis
5324,ellim001,Ellis,Mark,04/09/2002,,,,2002-04-09,Mark Ellis
5326,ellir001,Ellis,Robert,09/12/1996,,,,1996-09-12,Robert Ellis
5332,ellij001,Ellison,Jason,05/09/2003,,,,2003-05-09,Jason Ellison
5333,ellsj001,Ellsbury,Jacoby,06/30/2007,,,,2007-06-30,Jacoby Ellsbury
5335,ellss001,Ellsworth,Steve,04/07/1988,,,,1988-04-07,Steve Ellsworth
5336,elmoj001,Elmore,Jake,08/11/2012,,,,2012-08-11,Jake Elmore
5339,elstk001,Elster,Kevin,09/02/1986,,,,1986-09-02,Kevin Elster
5341,elvin001,Elvira,Narciso,09/09/1990,,,,1990-09-09,Narciso Elvira
5344,ely-j001,Ely,John,04/28/2010,,,,2010-04-28,John Ely
5345,emaub001,Emaus,Brad,04/01/2011,,,,2011-04-01,Brad Emaus
5346,embra001,Embree,Alan,09/15/1992,,,,1992-09-15,Alan Embree
5359,encaa001,Encarnacion,Angelo,05/02/1995,,,,1995-05-02,Angelo Encarnacion
5360,encae001,Encarnacion,Edwin,06/24/2005,,,,2005-06-24,Edwin Encarnacion
5361,encaj001,Encarnacion,Juan,09/02/1997,,,,1997-09-02,Juan Encarnacion
5362,encal001,Encarnacion,Luis,07/27/1990,,,,1990-07-27,Luis Encarnacion
5363,encam001,Encarnacion,Mario,08/26/2001,,,,2001-08-26,Mario Encarnacion
5364,endet001,Enders,Trevor,09/02/2000,,,,2000-09-02,Trevor Enders
5366,engea001,Engel,Adam,05/27/2017,,,,2017-05-27,Adam Engel
5369,enges001,Engel,Steve,07/30/1985,,,,1985-07-30,Steve Engel
5373,engld001,Engle,Dave,04/14/1981,,03/31/1998,,1981-04-14,Dave Engle
5374,englr101,Engle,Rick,09/02/1981,,,,1981-09-02,Rick Engle
5377,englj001,English,Jesse,04/05/2010,,,,2010-04-05,Jesse English
5381,ennij001,Ennis,John,04/10/2002,,,,2002-04-10,John Ennis
5383,ennsd001,Enns,Dietrich,08/10/2017,,,,2017-08-10,Dietrich Enns
5384,enrib001,Enright,Barry,06/30/2010,,,,2010-06-30,Barry Enright
5389,ensbm001,Ensberg,Morgan,09/20/2000,,,,2000-09-20,Morgan Ensberg
5394,eovan001,Eovaldi,Nathan,08/06/2011,,,,2011-08-06,Nathan Eovaldi
5395,eppaj001,Eppard,Jim,09/08/1987,,05/16/2012,,1987-09-08,Jim Eppard
5397,epplc001,Eppley,Cody,04/23/2011,,,,2011-04-23,Cody Eppley
5405,erdot001,Erdos,Todd,06/08/1997,,,,1997-06-08,Todd Erdos
5406,ericj001,Ericks,John,06/24/1995,,,,1995-06-24,John Ericks
5411,ericm001,Erickson,Matt,07/09/2004,,,,2004-07-09,Matt Erickson
5415,erics001,Erickson,Scott,06/25/1990,,,,1990-06-25,Scott Erickson
5416,erlir001,Erlin,Robbie,04/30/2013,,,,2013-04-30,Robbie Erlin
5421,erstd001,Erstad,Darin,06/14/1996,,,,1996-06-14,Darin Erstad
5422,ervip001,Ervin,Phillip,04/22/2017,,,,2017-04-22,Phillip Ervin
5424,esasn001,Esasky,Nick,06/19/1983,,,,1983-06-19,Nick Esasky
5426,escae001,Escalona,Edgmer,09/10/2010,,,,2010-09-10,Edgmer Escalona
5427,escaf001,Escalona,Felix,04/04/2002,,,,2002-04-04,Felix Escalona
5428,escas001,Escalona,Sergio,05/17/2009,,,,2009-05-17,Sergio Escalona
5429,escac101,Escarrega,Chico,04/26/1982,,,,1982-04-26,Chico Escarrega
5430,eschj001,Esch,Jake,08/31/2016,,,,2016-08-31,Jake Esch
5433,escoa003,Escobar,Alcides,09/03/2008,,,,2008-09-03,Alcides Escobar
5434,escoa002,Escobar,Alex,05/08/2001,,,,2001-05-08,Alex Escobar
5435,escoa001,Escobar,Angel,05/17/1988,,,,1988-05-17,Angel Escobar
5436,escoe001,Escobar,Eduardo,09/02/2011,,,,2011-09-02,Eduardo Escobar
5437,escoe002,Escobar,Edwin,08/27/2014,,,,2014-08-27,Edwin Escobar
5438,escoj001,Escobar,Jose,04/13/1991,,,,1991-04-13,Jose Escobar
5439,escok001,Escobar,Kelvim,06/29/1997,,,,1997-06-29,Kelvim Escobar
5440,escoy001,Escobar,Yunel,06/02/2007,,,,2007-06-02,Yunel Escobar
5442,eshev001,Eshelman,Vaughn,05/02/1995,,,,1995-05-02,Vaughn Eshelman
5446,espig001,Espineli,Geno,07/20/2008,,,,2008-07-20,Geno Espineli
5447,espij001,Espino,Juan,06/25/1982,,,,1982-06-25,Juan Espino
5448,espip001,Espino,Paolo,05/19/2017,,,,2017-05-19,Paolo Espino
5449,espid001,Espinosa,Danny,09/01/2010,,,,2010-09-01,Danny Espinosa
5451,espia001,Espinoza,Alvaro,09/14/1984,,,,1984-09-14,Alvaro Espinoza
5452,espob001,Esposito,Brian,06/02/2007,,,,2007-06-02,Brian Esposito
5453,espom001,Esposito,Mike,09/21/2005,,,,2005-09-21,Mike Esposito
5455,espyc001,Espy,Cecil,09/02/1983,,,,1983-09-02,Cecil Espy
5463,estab001,Estalella,Bobby,09/17/1996,,,,1996-09-17,Bobby Estalella
5466,estes001,Estes,Shawn,09/16/1995,,,,1995-09-16,Shawn Estes
5467,estec001,Estevez,Carlos,04/23/2016,,,,2016-04-23,Carlos Estevez
5471,estrh001,Estrada,Horacio,05/04/1999,,,,1999-05-04,Horacio Estrada
5472,estrj001,Estrada,Johnny,05/15/2001,,,,2001-05-15,Johnny Estrada
5473,estrm001,Estrada,Marco,08/20/2008,,,,2008-08-20,Marco Estrada
5475,estrl001,Estrella,Leo,07/18/2000,,,,2000-07-18,Leo Estrella
5479,ethes001,Etherton,Seth,05/26/2000,,,,2000-05-26,Seth Etherton
5480,ethia001,Ethier,Andre,05/02/2006,,,,2006-05-02,Andre Ethier
5482,ettlm001,Ettles,Mark,06/05/1993,,,,1993-06-05,Mark Ettles
5485,eufef001,Eufemia,Frank,05/21/1985,,,,1985-05-21,Frank Eufemia
5487,euset001,Eusebio,Tony,08/08/1991,,,,1991-08-08,Tony Eusebio
5492,evanb001,Evans,Bart,06/16/1998,,,,1998-06-16,Bart Evans
5504,evann001,Evans,Nick,05/24/2008,,,,2008-05-24,Nick Evans
5505,evanp001,Evans,Phillip,09/08/2017,,,,2017-09-08,Phillip Evans
5509,evant002,Evans,Terry,06/17/2007,,,,2007-06-17,Terry Evans
5510,evant001,Evans,Tom,09/02/1997,,,,1997-09-02,Tom Evans
5512,eveld001,Eveland,Dana,07/16/2005,,,,2005-07-16,Dana Eveland
5513,evera001,Everett,Adam,08/30/2001,,09/01/2014,,2001-08-30,Adam Everett
5514,everc001,Everett,Carl,07/01/1993,,,,1993-07-01,Carl Everett
5515,evert001,Everidge,Tommy,07/28/2009,,,,2009-07-28,Tommy Everidge
5524,everb001,Eversgerd,Bryan,04/30/1994,,,,1994-04-30,Bryan Eversgerd
5532,expol001,Exposito,Luis,05/04/2012,,,,2012-05-04,Luis Exposito
5533,eyres001,Eyre,Scott,08/01/1997,,,,1997-08-01,Scott Eyre
5534,eyrew001,Eyre,Willie,04/06/2006,,,,2006-04-06,Willie Eyre
5540,fabrj001,Fabregas,Jorge,04/24/1994,,,,1994-04-24,Jorge Fabregas
5543,faedl001,Faedo,Lenny,09/06/1980,,,,1980-09-06,Lenny Faedo
5550,faheb001,Fahey,Brandon,04/30/2006,,,,2006-04-30,Brandon Fahey
5562,fajah001,Fajardo,Hector,08/10/1991,,,,1991-08-10,Hector Fajardo
5568,falkb001,Falkenborg,Brian,10/01/1999,,,,1999-10-01,Brian Falkenborg
5570,fallb001,Fallon,Bob,04/26/1984,,,,1984-04-26,Bob Fallon
5574,falts001,Falteisek,Steve,07/22/1997,,,,1997-07-22,Steve Falteisek
5575,falui001,Falu,Irving,05/06/2012,,,,2012-05-06,Irving Falu
5576,famij001,Familia,Jeurys,09/04/2012,,,,2012-09-04,Jeurys Familia
5577,faner001,Faneyte,Rikkert,08/29/1993,,,,1993-08-29,Rikkert Faneyte
5583,fanss001,Fansler,Stan,09/06/1986,,,,1986-09-06,Stan Fansler
5586,farij001,Faria,Jacob,06/07/2017,,,,2017-06-07,Jacob Faria
5587,farip001,Faries,Paul,09/06/1990,,,,1990-09-06,Paul Faries
5588,farim001,Fariss,Monty,09/06/1991,,,,1991-09-06,Monty Fariss
5593,farmb001,Farmer,Buck,08/13/2014,,,,2014-08-13,Buck Farmer
5595,farmh001,Farmer,Howard,07/02/1990,,,,1990-07-02,Howard Farmer
5597,farmk001,Farmer,Kyle,07/30/2017,,,,2017-07-30,Kyle Farmer
5598,farmm001,Farmer,Mike,05/04/1996,,,,1996-05-04,Mike Farmer
5601,farnj001,Farnsworth,Jeff,04/03/2002,,,,2002-04-03,Jeff Farnsworth
5602,farnk001,Farnsworth,Kyle,04/29/1999,,,,1999-04-29,Kyle Farnsworth
5603,farqd001,Farquhar,Danny,09/13/2011,,,,2011-09-13,Danny Farquhar
5604,farrj101,Farr,Jim,09/07/1982,,,,1982-09-07,Jim Farr
5605,farrs001,Farr,Steve,05/16/1984,,,,1984-05-16,Steve Farr
5615,farrj001,Farrell,John,08/18/1987,4/1/2011,04/02/2007,,1987-08-18,John Farrell
5617,farrl001,Farrell,Luke,07/01/2017,,,,2017-07-01,Luke Farrell
5619,farre001,Farris,Eric,07/28/2011,,,,2011-07-28,Eric Farris
5621,fasas001,Fasano,Sal,04/03/1996,,,,1996-04-03,Sal Fasano
5623,fassj001,Fassero,Jeff,05/04/1991,,,,1991-05-04,Jeff Fassero
5627,faula001,Faulkner,Andrew,08/31/2015,,,,2015-08-31,Andrew Faulkner
5636,featt001,Featherston,Taylor,04/12/2015,,,,2015-04-12,Taylor Featherston
5637,feblc001,Febles,Carlos,09/14/1998,,,,1998-09-14,Carlos Febles
5638,fedde001,Fedde,Erick,07/30/2017,,,,2017-07-30,Erick Fedde
5640,fedet001,Federowicz,Tim,09/11/2011,,,,2011-09-11,Tim Federowicz
5643,feier001,Feierabend,Ryan,09/13/2006,,,,2006-09-13,Ryan Feierabend
5645,feldm001,Felder,Mike,09/11/1985,,,,1985-09-11,Mike Felder
5648,felds001,Feldman,Scott,08/31/2005,,,,2005-08-31,Scott Feldman
5649,felij002,Feliciano,Jesus,06/10/2010,,,,2010-06-10,Jesus Feliciano
5650,felip002,Feliciano,Pedro,09/04/2002,,,,2002-09-04,Pedro Feliciano
5653,felij001,Felix,Junior,05/03/1989,,,,1989-05-03,Junior Felix
5654,felim001,Feliz,Michael,05/31/2015,,,,2015-05-31,Michael Feliz
5655,felin001,Feliz,Neftali,08/03/2009,,,,2009-08-03,Neftali Feliz
5656,felip001,Feliz,Pedro,09/05/2000,,,,2000-09-05,Pedro Feliz
5676,fermf001,Fermin,Felix,07/08/1987,,,,1987-07-08,Felix Fermin
5677,fermr001,Fermin,Ramon,08/06/1995,,,,1995-08-06,Ramon Fermin
5679,ferna001,Fernandez,Alex,08/02/1990,,,,1990-08-02,Alex Fernandez
5683,fernj002,Fernandez,Jared,09/19/2001,,,,2001-09-19,Jared Fernandez
5684,fernj003,Fernandez,Jose,04/07/2013,,,,2013-04-07,Jose Fernandez
5685,fernj001,Fernandez,Jose,07/03/1999,,,,1999-07-03,Jose Fernandez
5687,ferno001,Fernandez,Osvaldo,04/05/1996,,,,1996-04-05,Osvaldo Fernandez
5688,ferns001,Fernandez,Sid,09/20/1983,,,,1983-09-20,Sid Fernandez
5689,fernt001,Fernandez,Tony,09/02/1983,,,,1983-09-02,Tony Fernandez
5692,ferra001,Ferrari,Anthony,06/07/2003,,,,2003-06-07,Anthony Ferrari
5695,ferrt001,Ferreira,Tony,09/17/1985,,,,1985-09-17,Tony Ferreira
5696,ferrj001,Ferrell,Jeff,07/04/2015,,,,2015-07-04,Jeff Ferrell
5709,fettm001,Fetters,Mike,09/01/1989,,04/02/2017,,1989-09-01,Mike Fetters
5712,fialn101,Fiala,Neil,09/03/1981,,,,1981-09-03,Neil Fiala
5714,fickc001,Fick,Chuckie,05/26/2012,,,,2012-05-26,Chuckie Fick
5717,fickr001,Fick,Robert,09/19/1998,,,,1998-09-19,Robert Fick
5721,fieln001,Field,Nate,04/12/2002,,,,2002-04-12,Nate Field
5723,fielt001,Field,Thomas,09/11/2011,,,,2011-09-11,Thomas Field
5724,fielc001,Fielder,Cecil,07/20/1985,,,,1985-07-20,Cecil Fielder
5725,fielp001,Fielder,Prince,06/13/2005,,,,2005-06-13,Prince Fielder
5726,fielb001,Fields,Bruce,09/03/1986,,03/31/2003,,1986-09-03,Bruce Fields
5727,field001,Fields,Daniel,06/04/2015,,,,2015-06-04,Daniel Fields
5730,fielj002,Fields,Josh,04/02/2013,,,,2013-04-02,Josh Fields
5731,fielj001,Fields,Josh,09/13/2006,,,,2006-09-13,Josh Fields
5733,fienc001,Fien,Casey,07/26/2009,,,,2009-07-26,Casey Fien
5735,fierm001,Fiers,Michael,09/14/2011,,,,2011-09-14,Michael Fiers
5737,fifes001,Fife,Stephen,07/17/2012,,,,2012-07-17,Stephen Fife
5739,figaa001,Figaro,Alfredo,06/20/2009,,,,2009-06-20,Alfredo Figaro
5740,figgm001,Figga,Mike,09/16/1997,,,,1997-09-16,Mike Figga
5742,figgc001,Figgins,Chone,08/25/2002,,,,2002-08-25,Chone Figgins
5743,figub001,Figueroa,Bien,05/17/1992,,,,1992-05-17,Bien Figueroa
5744,figuc001,Figueroa,Cole,05/16/2014,,,,2014-05-16,Cole Figueroa
5746,figuj101,Figueroa,Jesus,04/22/1980,,,,1980-04-22,Jesus Figueroa
5747,figul001,Figueroa,Luis,06/27/2001,,,,2001-06-27,Luis Figueroa
5748,figun001,Figueroa,Nelson,06/03/2000,,,,2000-06-03,Nelson Figueroa
5749,figup001,Figueroa,Pedro,04/21/2012,,,,2012-04-21,Pedro Figueroa
5750,fikaj001,Fikac,Jeremy,08/16/2001,,,,2001-08-16,Jeremy Fikac
5751,fileb001,File,Bob,04/14/2001,,,,2001-04-14,Bob File
5753,filet001,Filer,Tom,06/08/1982,,,,1982-06-08,Tom Filer
5758,filsp001,Filson,Pete,05/15/1982,,,,1982-05-15,Pete Filson
5759,fimpj001,Fimple,Jack,07/30/1983,,,,1983-07-30,Jack Fimple
5769,finlc001,Finley,Chuck,05/29/1986,,,,1986-05-29,Chuck Finley
5770,finls001,Finley,Steve,04/03/1989,,,,1989-04-03,Steve Finley
5772,finnb001,Finnegan,Brandon,09/06/2014,,,,2014-09-06,Brandon Finnegan
5777,finng001,Finnvold,Gar,05/10/1994,,,,1994-05-10,Gar Finnvold
5779,fiort001,Fiore,Tony,08/27/2000,,,,2000-08-27,Tony Fiore
5780,fiorj001,Fiorentino,Jeffrey,05/12/2005,,,,2005-05-12,Jeffrey Fiorentino
5781,fires001,Fireovid,Steve,09/06/1981,,,,1981-09-06,Steve Fireovid
5782,firod001,Firova,Dan,09/01/1981,,04/04/2016,,1981-09-01,Dan Firova
5788,fiscj001,Fischer,Jeff,06/19/1987,,,,1987-06-19,Jeff Fischer
5791,fisct001,Fischer,Todd,05/29/1986,,,,1986-05-29,Todd Fischer
5795,fishj001,Fishel,John,07/14/1988,,,,1988-07-14,John Fishel
5798,fishb001,Fisher,Brian,05/07/1985,,,,1985-05-07,Brian Fisher
5799,fishc001,Fisher,Carlos,05/24/2009,,,,2009-05-24,Carlos Fisher
