,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
9538,keatg101,Keatley,Greg,09/27/1981,,,,1981-09-27,Greg Keatley
9540,keedp001,Keedy,Pat,09/10/1985,,,,1985-09-10,Pat Keedy
9557,keenj101,Keener,Jeff,06/08/1982,,,,1982-06-08,Jeff Keener
9561,keetr101,Keeton,Rickey,05/27/1980,,,,1980-05-27,Rickey Keeton
9565,keisr001,Keisler,Randy,09/10/2000,,,,2000-09-10,Randy Keisler
9569,kelak001,Kela,Keone,04/07/2015,,,,2015-04-07,Keone Kela
9582,kellk002,Keller,Kris,05/24/2002,,,,2002-05-24,Kris Keller
9593,kells001,Kelley,Shawn,04/10/2009,,,,2009-04-10,Shawn Kelley
9608,kellb001,Kelly,Bryan,09/02/1986,,,,1986-09-02,Bryan Kelly
9609,kellc002,Kelly,Carson,09/05/2016,,,,2016-09-05,Carson Kelly
9610,kellc001,Kelly,Casey,08/27/2012,,,,2012-08-27,Casey Kelly
9612,kelld001,Kelly,Don,04/02/2007,,,,2007-04-02,Don Kelly
9620,kellj001,Kelly,Joe,06/10/2012,,,,2012-06-10,Joe Kelly
9623,kellk001,Kelly,Kenny,09/07/2000,,,,2000-09-07,Kenny Kelly
9626,kellm001,Kelly,Mike,04/05/1994,,,,1994-04-05,Mike Kelly
9629,kellp001,Kelly,Pat,05/20/1991,,,,1991-05-20,Pat Kelly
9630,kellp102,Kelly,Pat,05/28/1980,,07/03/2007,,1980-05-28,Pat Kelly
9634,kellb002,Kelly,Roberto,07/29/1987,,03/31/2008,,1987-07-29,Roberto Kelly
9635,kellr001,Kelly,Ryan,06/30/2015,,,,2015-06-30,Ryan Kelly
9639,kellt001,Kelly,Ty,05/24/2016,,,,2016-05-24,Ty Kelly
9644,keltd001,Kelton,David,06/08/2003,,,,2003-06-08,David Kelton
9650,kempm001,Kemp,Matt,05/28/2006,,,,2006-05-28,Matt Kemp
9652,kempt001,Kemp,Tony,05/17/2016,,,,2016-05-17,Tony Kemp
9654,kendj001,Kendall,Jason,04/01/1996,,,,1996-04-01,Jason Kendall
9656,kendh001,Kendrick,Howie,04/26/2006,,,,2006-04-26,Howie Kendrick
9657,kendk001,Kendrick,Kyle,06/13/2007,,,,2007-06-13,Kyle Kendrick
9660,kenna001,Kennedy,Adam,08/21/1999,,,,1999-08-21,Adam Kennedy
